NDVI,Slope,Elevation,Insolation,TWI
0.0844882429,7.1404204369,225.42353821,18,3.27431512
0.0487483703,4.5959639549,262.21276855,17.25491333,3.4911809
0.0682800263,21.338319778,259.89224243,16.991388321,2.84469199
0.0470680781,18.175943375,262.42367554,13.997079849,2.43497014
0.0530504882,28.059211731,257.81500244,14.889707565,2.94495416
0.0349156782,21.522668839,303.50427246,15.760416985,3.47768521
0.0379187241,25.642173767,299.59841919,16.091012955,3.13893318
0.0767359659,22.466411591,295.19992065,17.105062485,3.53509235
0.071773015,27.445316315,290.75643921,15.688877106,3.93453312
0.0419058092,27.480318069,285.16906738,15.708515167,3.97199535
0.0539759472,24.812084198,305.5489502,15.157749176,3.47768521
0.0062785121,29.563741684,301.46118164,15.211676598,3.62603664
-0.0017962002,25.425634384,297.18112183,14.912443161,3.79040956
0.0014052102,28.523790359,293.03225708,15.199548721,3.58424401
0.0138305184,23.424369812,287.77566528,14.80141449,3.19222569
0.0950047225,26.582496643,309.56497192,15.514200211,3.90309572
0.0619612411,28.017635345,305.54324341,15.043078423,3.8575449
0.0643033013,25.781335831,301.27386475,15.404611588,3.36896706
0.0847218409,30.959529877,297.39678955,14.791083336,3.10747123
0.0701685771,33.418087006,292.58477783,13.19862175,2.7141149
0.1527045667,35.257843018,246.97007751,13.516065598,2.57108426
0.177861169,38.760509491,242.41625977,13.49487114,2.37725568
0.1635750979,32.136672974,237.21429443,13.085379601,3.42650795
0.1015069857,35.920227051,233.47665405,12.809292793,4.04788685
0.0597586222,30.710786819,230.82084656,11.592169762,2.71375442
0.1289545745,33.983203888,252.81292725,13.165966988,2.19547343
0.1224571392,43.287704468,247.68383789,13.051861763,3.24550676
0.0767155364,37.409561157,242.38189697,11.455973625,3.47365546
0.0450655073,44.883113861,240.04983521,11.549496651,3.35736179
0.0432541408,47.292896271,238.804245,9.0874643326,2.33749461
0.0738561079,42.401439667,259.17251587,11.905170441,2.19547343
0.0432901531,44.137378693,255.20024109,12.587290764,3.6706183
0.0079106214,42.670810699,250.78488159,10.172707558,3.47365546
0.0293185692,44.090065002,249.43530273,11.851442337,3.24675632
0.0833054557,36.977165222,248.17289734,11.077926636,2.54831147
0.0445461869,44.687614441,267.06445312,12.351597786,2.20877767
0.0143623352,44.397987366,262.83816528,12.201102257,3.97529769
0.0257951207,42.109336853,260.5274353,10.616593361,3.3652916
