72722NDVIs,Slope,Insolation,DEM,TWI
0.1326797903,8.0744962692,18.859754562,216.40284729,3.63912678
0.1374165565,4.0817022324,18.880031586,215.64472961,3.69718003
0.1575520635,9.952167511,17.835262299,215.34390259,4.26889706
0.1403535754,7.9037418365,16.001300812,214.74751282,4.19273281
0.1127722487,5.4947838783,16,215.26881409,3.93955255
0.1599890739,17.277011871,16.000324249,215.60441589,3.68559074
0.1602649689,12.717977524,16,213.73768616,4.00502825
0.1433930546,12.104138374,16,213.02655029,3.78415394
0.1236862913,10.956195831,16,213.74464417,3.2947607
0.1276996136,17.267295837,16,212.60171509,3.2001462
0.1478088647,21.790782928,15.989136696,209.62120056,2.79449821
0.1764419079,26.571237564,15.323973656,205.9994812,2.55760169
0.1615729481,13.229926109,16.332275391,217.97665405,3.77437615
0.1671336591,13.797056198,16,216.77703857,3.75810957
0.181251958,17.885997772,16,214.06013489,3.85590506
0.1922472119,14.097477913,16,211.98477173,3.92304897
0.1730712652,14.725836754,16,210.63194275,4.30207777
0.1518686116,15.793045044,16,211.44863892,3.1408453
0.1579685509,16.144174576,16,210.69802856,2.92043638
0.1707223654,24.880325317,14.77038765,207.21936035,3.14339209
0.1804607511,18.085128784,15.974177361,203.50047302,3.13251138
0.1889489442,21.980186462,15.145654678,200.36210632,3.01236963
0.1755819619,4.14193964,15.5,218.49401855,4.47531271
0.1705916971,7.2166676521,15.5,218.06358337,3.91420078
0.1751414686,10.412011147,15.5,216.87905884,3.98923826
0.1911620349,15.144379616,15.999782562,215.18434143,3.77432132
0.206100747,18.501848221,15.989790916,212.25926208,3.76257014
0.217734322,18.114898682,16,209.85661316,3.88756633
0.1981837898,22.292732239,15.989573479,207.40309143,4.67287302
0.1767660976,23.84790802,16,208.12983704,3.0352931
0.183978498,24.018079758,16,207.10456848,2.52967644
0.2058929801,28.813617706,16,203.67825317,2.77288413
0.220192492,22.243635178,16,200.88273621,2.89119291
0.2164828181,21.606384277,16,197.9438324,3.0890553
0.2143794149,12.17863369,16,196.25469971,3.13871789
0.2173855454,5.05940485,16,195.39961243,3.48612118
0.2093248516,2.2798523903,16.000217438,195.29927063,3.68766999
0.1468902528,9.2799625397,15.494795799,220.43780518,3.03376031
0.1665855199,7.7237491608,15.5,218.85031128,3.3847611
0.1885549873,9.0456075668,15.5,217.91795349,4.34642076
0.1957921833,12.665394783,15.5,216.9521637,4.34205008
0.2059742361,15.47393322,15.5,215.42501831,4.16303873
0.2179496437,18.307455063,15.5,213.93569946,3.54628539
0.2179277241,23.187431335,15.380224228,210.94586182,3.48724294
0.2211698443,21.717172623,15.5,207.72875977,3.775038
0.2146297246,15.784818649,15.5,204.4670105,4.87387419
0.202452749,16.345651627,15.5,204.1191864,3.33140588
0.2047113329,21.957761765,15.864989281,203.05641174,2.53602242
0.2267959416,25.579271317,16,200.09085083,2.74083543
0.2501648963,18.982086182,16,198.08378601,2.90138841
0.2459300906,13.193246841,16,196.1342926,3.14071131
0.2358170301,6.3562340736,16,195.16278076,3.36669993
0.2375065386,3.0093142986,16,194.79325867,4.02429247
0.2267653644,2.3934624195,16,194.92411804,4.32176113
0.1560873538,13.420681,15.489583969,223.40332031,3.10308623
0.1553606987,16.639194489,15.484802246,220.91958618,2.92211795
0.1752538234,11.287384987,15.489796638,218.34881592,3.35377955
0.2041853368,10.975933075,15.5,216.75198364,3.95453072
0.2192211002,16.211372375,15.5,215.04838562,4.39988804
0.2374492735,15.666848183,15.5,212.99606323,4.48751831
0.2545118034,19.930273056,15.5,211.44827271,3.56558895
0.2470164746,24.894933701,15.260422707,208.3296051,3.29472113
0.2407656908,21.421361923,15.489804268,205.15126038,3.45479417
0.2482035011,11.801528931,15.5,202.51545715,4.05278873
0.2564628422,16.741378784,15.5,201.61528015,4.69695091
0.2592367232,19.2224617,15.5,199.45706177,3.34474969
0.2707706988,17.101495743,15.505205154,196.58966064,2.84411597
0.2785668373,8.8416385651,16,195.40879822,3.20606351
0.2679576874,6.3794155121,16,194.73001099,3.79780245
0.2591744661,3.7195088863,16,194.43774414,4.20560122
0.2583200634,2.6180458069,16,194.33728027,4.41825724
0.2410242707,2.3389482498,16,194.53707886,5.46208429
0.2123680562,1.404974103,16,194.81343079,6.19532394
0.1705809832,5.979511261,15.359175682,225.3188324,3.51934457
0.1557388902,16.860836029,15.010194778,223.28398132,3.08520031
